date,activeZoneMinutes,fatBurnActiveZoneMinutes,cardioActiveZoneMinutes,peakActiveZoneMinutes
2025-12-03,38,10,28.0,
2025-12-04,31,23,8.0,
2025-12-05,35,9,26.0,
2025-12-06,35,21,14.0,
2025-12-07,31,31,,
2025-12-08,43,15,26.0,2.0
2025-12-09,37,15,22.0,
2025-12-10,32,16,16.0,
2025-12-11,17,15,2.0,
2025-12-12,27,21,6.0,
2025-12-13,91,75,16.0,
2025-12-14,27,27,,
2025-12-15,56,50,6.0,
2025-12-16,10,10,,
2025-12-17,54,42,12.0,
2025-12-18,28,16,12.0,
2025-12-19,11,11,,
2025-12-20,10,8,2.0,
2025-12-21,29,23,6.0,
2025-12-22,58,46,12.0,
2025-12-23,6,6,,
2025-12-25,32,12,20.0,
2025-12-26,19,13,6.0,
2025-12-27,12,4,8.0,
2025-12-28,9,5,4.0,
2025-12-29,2,2,,
2025-12-30,2,2,,
2026-01-02,1,1,,
2026-01-04,17,17,,
2026-01-05,35,25,10.0,
2026-01-06,18,16,2.0,
2026-01-07,18,14,4.0,
2026-01-08,32,18,14.0,
2026-01-09,13,13,,
2026-01-11,16,16,,
2026-01-13,27,21,6.0,
2026-01-14,6,6,,
2026-01-15,16,16,,
2026-01-16,6,6,,
2026-01-17,18,18,,
2026-01-18,305,257,48.0,
2026-01-19,13,13,,
2026-01-20,19,9,10.0,
2026-01-21,16,16,,
2026-01-22,20,20,,
2026-01-23,4,4,,
