date,br_full_sleep,br_deep,br_light,br_rem
2026-02-14,15.0,15.0,14.4,14.0
2026-02-15,15.0,15.0,13.6,10.6
2026-02-16,15.2,15.2,14.6,15.2
2026-02-17,15.2,15.2,15.2,18.4
2026-02-18,14.2,14.2,14.2,12.0
2026-02-19,13.6,13.6,13.2,24.0
2026-02-20,14.8,14.8,13.6,14.4
2026-02-21,16.0,16.0,14.4,13.0
2026-02-22,14.6,14.6,14.2,12.2
2026-02-23,14.4,14.4,12.8,10.2
2026-02-24,14.8,14.8,13.8,9.6
2026-02-25,15.0,15.0,12.2,10.0
2026-02-26,15.4,15.4,13.4,11.8
2026-02-27,14.0,14.0,13.4,13.6
2026-02-28,13.8,13.8,13.4,10.0
2026-03-01,14.2,14.2,13.6,13.4
2026-03-02,14.0,14.0,13.2,10.8
2026-03-03,15.4,15.4,14.6,11.4
2026-03-04,15.6,15.6,14.6,10.8
2026-03-05,14.0,14.0,14.2,14.2
2026-03-06,14.4,14.4,13.2,11.0
2026-03-07,12.2,13.0,12.2,10.2
2026-03-08,14.0,14.0,13.8,11.0
2026-03-09,13.4,13.6,13.4,11.4
2026-03-10,14.4,14.4,13.0,13.0
2026-03-11,14.2,14.2,13.2,11.4
2026-03-12,14.8,14.8,14.0,12.8
2026-03-13,15.2,15.2,14.4,13.6
2026-03-14,14.4,14.4,13.6,11.2
