date,vo2_max,vo2_max_raw
2025-11-17,62.0,60-64
2025-11-18,62.0,60-64
2025-11-19,62.0,60-64
2025-11-20,62.0,60-64
2025-11-21,62.0,60-64
2025-11-22,62.0,60-64
2025-11-23,62.0,60-64
2025-11-24,62.0,60-64
2025-11-25,62.0,60-64
2025-11-26,62.0,60-64
2025-11-27,62.0,60-64
2025-11-28,62.0,60-64
2025-11-29,62.0,60-64
2025-11-30,62.0,60-64
2025-12-01,62.0,60-64
2025-12-02,62.0,60-64
2025-12-03,62.0,60-64
2025-12-04,62.0,60-64
2025-12-05,62.0,60-64
2025-12-06,62.0,60-64
2025-12-07,62.0,60-64
2025-12-08,62.0,60-64
2025-12-09,62.0,60-64
2025-12-10,62.0,60-64
2025-12-11,62.0,60-64
2025-12-12,62.0,60-64
2025-12-13,62.0,60-64
2025-12-14,62.0,60-64
2025-12-15,62.0,60-64
2025-12-16,62.0,60-64
