dateOfSleep,startTime,endTime,duration,timeInBed,efficiency,minutesAsleep,minutesAwake,minutesAfterWakeup,minutesToFallAsleep,logId,logType,type,infoCode,isMainSleep,deepMinutes,lightMinutes,remMinutes,wakeMinutes,deepCount,lightCount,remCount,wakeCount,deepAvg30,lightAvg30,remAvg30,wakeAvg30
2025-01-05,2025-01-04T22:17:30.000,2025-01-05T05:33:00.000,24900000,415,89,370,45,20,0,3658461866274873688,auto_detected,stages,0,True,80.0,218.0,92.0,45.0,6.0,31.0,4.0,30.0,71.0,249.0,87.0,62.0
2025-01-06,2025-01-05T22:13:00.000,2025-01-06T06:27:30.000,25200000,420,86,363,57,74,0,2142586737463238000,auto_detected,stages,0,True,73.0,262.0,101.0,57.0,3.0,37.0,11.0,39.0,72.0,247.0,88.0,61.0
2025-01-07,2025-01-06T21:30:00.000,2025-01-07T05:58:30.000,26940000,449,85,381,68,59,0,7316048875103527216,auto_detected,stages,0,True,84.0,243.0,113.0,68.0,5.0,23.0,4.0,24.0,72.0,249.0,88.0,61.0
2025-01-08,2025-01-07T21:53:30.000,2025-01-08T06:21:00.000,28080000,468,84,393,75,39,0,6337813529171081704,auto_detected,stages,0,True,57.0,307.0,67.0,75.0,2.0,34.0,4.0,32.0,73.0,250.0,89.0,62.0
2025-01-09,2025-01-08T22:56:00.000,2025-01-09T06:32:00.000,26520000,442,88,390,52,14,0,1535579368307029088,auto_detected,stages,0,True,59.0,234.0,110.0,52.0,3.0,32.0,9.0,34.0,73.0,253.0,87.0,63.0
2025-01-10,2025-01-09T23:30:30.000,2025-01-10T05:44:00.000,20760000,346,85,295,51,27,0,6137741350833113280,auto_detected,stages,0,True,69.0,180.0,72.0,51.0,3.0,25.0,6.0,24.0,73.0,252.0,88.0,63.0
2025-01-11,2025-01-10T22:20:30.000,2025-01-11T05:35:00.000,24540000,409,87,354,55,25,0,3640390017560642648,auto_detected,stages,0,True,47.0,277.0,54.0,55.0,2.0,35.0,4.0,34.0,72.0,251.0,88.0,63.0
2025-01-12,2025-01-11T22:41:30.000,2025-01-12T07:02:00.000,29340000,489,87,426,63,11,0,3711856593217628384,auto_detected,stages,0,True,64.0,282.0,90.0,63.0,3.0,36.0,10.0,39.0,71.0,253.0,87.0,64.0
2025-01-13,2025-01-12T23:51:30.000,2025-01-13T07:23:00.000,23700000,395,85,336,59,56,0,1915915240782025408,auto_detected,stages,0,True,72.0,224.0,95.0,59.0,2.0,33.0,8.0,35.0,71.0,253.0,87.0,64.0
2025-01-14,2025-01-13T23:14:30.000,2025-01-14T06:17:00.000,23400000,390,81,316,74,32,0,7376143122244896280,auto_detected,stages,0,True,78.0,197.0,73.0,74.0,4.0,23.0,8.0,20.0,71.0,252.0,87.0,64.0
2025-01-15,2025-01-15T00:02:30.000,2025-01-15T06:18:30.000,18180000,303,82,249,54,73,0,9050579339103561568,auto_detected,stages,0,True,68.0,194.0,59.0,54.0,2.0,19.0,7.0,21.0,72.0,251.0,87.0,65.0
2025-01-16,2025-01-15T22:03:00.000,2025-01-16T06:31:00.000,26940000,449,83,371,78,59,0,2241349066706076672,auto_detected,stages,0,True,101.0,238.0,90.0,78.0,4.0,33.0,4.0,31.0,71.0,246.0,87.0,64.0
2025-01-17,2025-01-16T23:20:30.000,2025-01-17T05:57:30.000,21780000,363,86,313,50,34,0,6730529700981987824,auto_detected,stages,0,True,35.0,220.0,91.0,50.0,1.0,27.0,8.0,30.0,72.0,249.0,86.0,65.0
2025-01-20,2025-01-19T23:40:30.000,2025-01-20T07:26:30.000,27480000,458,86,395,63,8,0,1004585761004509728,auto_detected,stages,0,True,76.0,231.0,94.0,63.0,4.0,36.0,8.0,37.0,72.0,252.0,87.0,66.0
2025-01-21,2025-01-20T23:50:30.000,2025-01-21T06:40:30.000,24060000,401,86,346,55,9,0,8385207531486663352,auto_detected,stages,0,True,59.0,228.0,67.0,55.0,3.0,25.0,11.0,26.0,72.0,252.0,86.0,65.0
