datetime,spo2
2026-02-13 23:05:03,96.1
2026-02-13 23:06:03,96.3
2026-02-13 23:08:03,98.3
2026-02-13 23:09:03,98.0
2026-02-13 23:10:03,97.7
2026-02-13 23:11:03,97.6
2026-02-13 23:12:03,97.5
2026-02-13 23:13:03,97.4
2026-02-13 23:14:03,97.4
2026-02-13 23:15:03,97.2
2026-02-13 23:16:03,97.2
2026-02-13 23:17:03,97.1
2026-02-13 23:18:03,97.2
2026-02-13 23:19:03,97.1
2026-02-13 23:20:03,97.2
2026-02-13 23:21:03,97.2
2026-02-13 23:22:03,97.3
2026-02-13 23:23:03,97.3
2026-02-13 23:24:03,97.3
2026-02-13 23:25:03,97.2
2026-02-13 23:26:03,97.1
2026-02-13 23:27:03,97.1
2026-02-13 23:28:03,97.1
2026-02-13 23:29:03,97.1
2026-02-13 23:30:03,97.0
2026-02-13 23:31:03,97.0
2026-02-13 23:32:03,97.0
2026-02-13 23:34:03,97.0
2026-02-13 23:35:03,96.9
2026-02-13 23:36:03,96.9
2026-02-13 23:37:03,96.8
2026-02-13 23:38:03,96.8
2026-02-13 23:39:03,96.8
2026-02-13 23:40:03,96.9
2026-02-13 23:41:03,96.9
2026-02-13 23:42:03,96.8
2026-02-13 23:43:03,96.9
2026-02-13 23:44:03,96.9
2026-02-13 23:45:03,96.9
2026-02-13 23:46:03,96.9
2026-02-13 23:47:03,96.9
2026-02-13 23:48:03,97.0
2026-02-13 23:49:03,97.0
2026-02-13 23:51:03,97.0
2026-02-13 23:52:03,97.2
2026-02-13 23:53:03,97.4
2026-02-13 23:54:03,97.5
2026-02-13 23:55:03,97.8
2026-02-13 23:56:03,98.0
2026-02-13 23:57:03,98.3
2026-02-13 23:58:03,98.4
2026-02-13 23:59:03,98.4
2026-02-14 00:00:03,98.5
2026-02-14 00:01:03,98.5
2026-02-14 00:02:03,98.4
2026-02-14 00:03:03,98.5
2026-02-14 00:04:03,98.6
2026-02-14 00:05:03,98.6
2026-02-14 00:06:03,98.4
2026-02-14 00:07:03,98.4
2026-02-14 00:08:03,98.3
2026-02-14 00:09:03,98.2
2026-02-14 00:10:03,98.1
2026-02-14 00:11:03,97.9
2026-02-14 00:12:03,97.9
2026-02-14 00:13:03,97.8
2026-02-14 00:14:03,97.6
2026-02-14 00:16:03,96.9
2026-02-14 00:17:03,96.8
2026-02-14 00:18:03,95.5
2026-02-14 00:19:03,95.4
2026-02-14 00:20:03,95.8
2026-02-14 00:21:03,95.2
2026-02-14 00:39:03,95.2
2026-02-14 00:40:03,95.3
2026-02-14 00:41:03,95.5
2026-02-14 00:42:03,95.6
2026-02-14 00:43:03,95.7
2026-02-14 00:44:03,95.7
2026-02-14 00:45:03,95.6
2026-02-14 00:46:03,95.6
2026-02-14 00:47:03,95.6
2026-02-14 00:48:03,95.7
2026-02-14 00:49:03,95.7
2026-02-14 00:50:03,95.8
2026-02-14 00:51:03,95.8
2026-02-14 00:52:03,95.8
2026-02-14 00:53:03,95.8
2026-02-14 00:54:03,95.8
2026-02-14 00:55:03,95.8
2026-02-14 00:56:03,95.8
2026-02-14 00:57:03,95.7
2026-02-14 00:58:03,95.7
2026-02-14 00:59:03,95.7
2026-02-14 01:00:03,95.7
2026-02-14 01:01:03,95.6
2026-02-14 01:02:03,95.6
2026-02-14 01:03:03,95.6
2026-02-14 01:04:03,95.6
2026-02-14 01:07:03,95.5
2026-02-14 01:08:03,95.5
2026-02-14 01:09:03,95.4
2026-02-14 01:10:03,95.4
2026-02-14 01:11:03,95.3
2026-02-14 01:12:03,95.3
2026-02-14 01:13:03,95.3
2026-02-14 01:14:03,95.2
2026-02-14 01:15:03,95.3
2026-02-14 01:16:03,95.3
2026-02-14 01:17:03,95.3
2026-02-14 01:18:03,95.3
2026-02-14 01:19:03,95.2
2026-02-14 01:20:03,95.2
2026-02-14 01:21:03,95.2
2026-02-14 01:22:03,95.3
2026-02-14 01:23:03,95.3
2026-02-14 01:34:03,95.5
2026-02-14 01:35:03,95.9
2026-02-14 01:36:03,96.2
2026-02-14 01:37:03,96.2
2026-02-14 01:38:03,96.4
2026-02-14 01:39:03,96.6
2026-02-14 01:40:03,96.9
2026-02-14 01:41:03,96.8
2026-02-14 01:43:03,97.2
2026-02-14 01:44:03,97.4
2026-02-14 01:45:03,97.5
2026-02-14 01:46:03,96.7
2026-02-14 01:47:03,96.2
2026-02-14 01:48:03,96.0
2026-02-14 01:49:03,95.7
2026-02-14 01:50:03,95.8
2026-02-14 01:51:03,96.0
2026-02-14 01:52:03,95.9
2026-02-14 01:53:03,95.9
2026-02-14 01:54:03,95.9
2026-02-14 01:55:03,95.9
2026-02-14 01:56:03,95.9
2026-02-14 01:57:03,94.8
2026-02-14 01:58:03,94.6
2026-02-14 01:59:03,94.8
2026-02-14 02:00:03,95.0
2026-02-14 02:01:03,95.2
2026-02-14 02:02:03,95.4
2026-02-14 02:03:03,95.6
2026-02-14 02:04:03,95.7
2026-02-14 02:05:03,95.8
2026-02-14 02:08:03,95.9
2026-02-14 02:09:03,95.6
2026-02-14 02:10:03,95.4
2026-02-14 02:11:03,95.3
2026-02-14 02:12:03,95.4
2026-02-14 02:13:03,95.6
2026-02-14 02:14:03,95.5
2026-02-14 02:15:03,95.5
2026-02-14 02:16:03,95.5
2026-02-14 02:17:03,95.4
2026-02-14 02:18:03,95.6
2026-02-14 02:19:03,95.7
2026-02-14 02:20:03,95.6
2026-02-14 02:21:03,95.7
2026-02-14 02:22:03,95.8
2026-02-14 02:23:03,95.8
2026-02-14 02:24:03,95.7
2026-02-14 02:28:03,96.0
2026-02-14 02:29:03,96.8
2026-02-14 02:30:03,97.4
2026-02-14 02:31:03,97.6
2026-02-14 02:32:03,97.9
2026-02-14 02:33:03,98.0
2026-02-14 02:35:03,97.5
2026-02-14 02:36:03,97.2
2026-02-14 02:37:03,96.9
2026-02-14 02:38:03,96.6
