date,weight,body_fat_rate,body_fat_mass,visceral_fat_level,basal_metabolic_rate,muscle_mass,bone_mass,body_age,body_water_rate,muscle_quality_score
2025-11-25,57.7,10.7,6.1739,2.0,1406.0,48.9,2.7,25.0,62.0,72.0
2025-11-26,57.9,11.8,6.8322005,3.0,1394.0,48.4,2.7,26.0,60.6,75.0
2025-11-27,57.8,12.6,7.2828,4.0,1379.0,47.9,2.6,28.0,59.6,74.0
2025-11-28,57.7,12.1,6.9817004,3.5,1386.0,48.1,2.6,27.0,60.4,71.0
2025-11-29,57.7,12.1,6.98,3.5,1386.0,48.1,2.6,27.0,60.4,71.0
2025-12-01,58.6,11.5,6.739,3.0,1416.0,49.1,2.7,26.0,61.7,70.0
2025-12-02,58.8,12.5,7.35,4.0,1408.0,48.8,2.7,27.0,60.5,69.0
2025-12-03,58.8,12.5,7.35,4.0,1408.0,48.8,2.7,27.0,60.5,69.0
2025-12-04,58.7,13.1,7.6897,4.5,1396.0,48.4,2.7,28.0,59.6,70.0
2025-12-05,58.4,13.4,7.8256,4.5,1383.0,48.0,2.6,29.0,58.9,71.0
2025-12-06,58.3,11.7,6.8210998,3.0,1406.0,48.8,2.7,26.0,60.8,71.0
2025-12-07,57.7,11.9,6.8663,3.0,1386.0,48.1,2.7,27.0,59.9,73.0
2025-12-08,57.9,11.6,6.7164,3.0,1396.0,48.5,2.7,26.0,60.5,74.0
2025-12-09,58.6,11.7,6.8561997,3.5,1413.0,49.0,2.7,26.0,61.3,73.0
2025-12-10,59.0,12.9,7.6109996,4.5,1405.0,48.7,2.7,28.0,60.0,72.0
2025-12-11,59.1,12.2,7.2101994,4.0,1419.0,49.2,2.7,27.0,61.1,72.0
2025-12-12,59.2,12.2,7.2223997,4.0,1421.0,49.3,2.7,27.0,60.8,73.0
2025-12-14,58.4,12.0,7.0080004,3.5,1403.0,48.7,2.7,27.0,60.1,76.0
2025-12-15,58.3,10.4,6.0631995,2.0,1426.0,49.5,2.7,25.0,61.6,76.0
2025-12-16,59.1,14.1,8.3331,5.0,1388.0,48.1,2.6,29.0,58.5,73.0
2025-12-17,60.0,12.9,7.74,4.5,1431.0,49.5,2.7,28.0,60.6,73.0
2025-12-18,59.9,14.6,8.7454,5.5,1401.0,48.5,2.7,30.0,58.2,72.0
2025-12-19,60.3,13.8,8.3214,5.5,1423.0,49.3,2.7,29.0,59.5,73.0
2025-12-20,60.4,12.6,7.6104,4.5,1445.0,50.0,2.8,27.0,61.3,72.0
2025-12-21,60.1,12.4,7.4523993,4.5,1440.0,49.9,2.7,27.0,61.3,69.0
2025-12-22,59.1,13.6,8.0376005,5.0,1398.0,48.4,2.7,29.0,59.3,66.0
2025-12-23,58.8,11.7,6.8795996,3.5,1419.0,49.2,2.7,26.0,61.4,67.0
2025-12-24,59.0,12.6,7.434,4.0,1409.0,48.9,2.7,27.0,60.2,68.0
2025-12-25,59.3,14.3,8.4799,5.5,1392.0,48.2,2.7,30.0,58.4,66.0
2025-12-26,59.5,13.6,8.092,5.0,1406.0,48.7,2.7,29.0,59.4,66.0
2025-12-29,58.1,13.0,7.553,4.0,1380.0,47.9,2.6,28.0,59.3,67.0
2026-01-03,60.6,14.2,8.6052,5.5,1424.0,49.2,2.7,29.0,59.1,66.0
2026-01-04,60.2,12.7,7.6453996,4.5,1438.0,49.8,2.7,27.0,61.0,67.0
2026-01-05,60.1,13.3,7.9933,5.0,1426.0,49.4,2.7,28.0,60.0,67.0
2026-01-06,59.4,12.5,7.425,4.0,1422.0,49.3,2.7,27.0,60.5,68.0
2026-01-07,58.5,12.9,7.5464997,4.0,1392.0,48.3,2.7,28.0,59.5,70.0
2026-01-08,58.2,11.5,6.693,3.0,1405.0,48.8,2.7,26.0,60.7,73.0
2026-01-09,58.5,12.4,7.2539997,4.0,1400.0,48.6,2.7,27.0,59.9,74.0
