"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Seated Dip Machine",,"",0,"normal",60,20,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Seated Dip Machine",,"",1,"normal",60,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Seated Dip Machine",,"",2,"normal",60,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Chest Press (Machine)",,"",0,"normal",75,12,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Chest Press (Machine)",,"",1,"normal",70,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Chest Press (Machine)",,"",2,"normal",70,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Preacher Curl (Machine)",,"",0,"normal",44,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Preacher Curl (Machine)",,"",1,"normal",44,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Preacher Curl (Machine)",,"",2,"normal",33,20,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Leg Press Horizontal (Machine)",,"",0,"normal",90,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Leg Press Horizontal (Machine)",,"",1,"normal",90,18,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Leg Press Horizontal (Machine)",,"",2,"normal",90,18,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Lat Pulldown (Machine)",,"",0,"normal",25,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Lat Pulldown (Machine)",,"",1,"normal",25,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Lat Pulldown (Machine)",,"",2,"normal",25,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Seated Shoulder Press (Machine)",,"",0,"normal",25,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Seated Shoulder Press (Machine)",,"",1,"normal",25,15,,,
"チョコザップ","20 Dec 2025, 14:47","20 Dec 2025, 15:23","","Seated Shoulder Press (Machine)",,"",2,"normal",25,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Seated Dip Machine",,"",0,"normal",60,12,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Seated Dip Machine",,"",1,"normal",60,12,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Seated Dip Machine",,"",2,"normal",60,12,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Chest Press (Machine)",,"",0,"normal",75,10,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Chest Press (Machine)",,"",1,"normal",70,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Chest Press (Machine)",,"",2,"normal",70,20,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Preacher Curl (Machine)",,"",0,"normal",44,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Preacher Curl (Machine)",,"",1,"normal",44,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Preacher Curl (Machine)",,"",2,"normal",44,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Leg Press Horizontal (Machine)",,"",0,"normal",90,10,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Leg Press Horizontal (Machine)",,"",1,"normal",90,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Leg Press Horizontal (Machine)",,"",2,"normal",90,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Lat Pulldown (Machine)",,"",0,"normal",25,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Lat Pulldown (Machine)",,"",1,"normal",25,12,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Lat Pulldown (Machine)",,"",2,"normal",25,12,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Seated Shoulder Press (Machine)",,"",0,"normal",25,15,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Seated Shoulder Press (Machine)",,"",1,"normal",25,25,,,
"チョコザップ","19 Dec 2025, 14:46","19 Dec 2025, 15:18","","Seated Shoulder Press (Machine)",,"",2,"normal",25,13,,,
"チョコザップ","18 Dec 2025, 15:24","18 Dec 2025, 15:52","","Seated Dip Machine",,"",0,"normal",60,10,,,
"チョコザップ","18 Dec 2025, 15:24","18 Dec 2025, 15:52","","Seated Dip Machine",,"",1,"normal",60,10,,,
"チョコザップ","18 Dec 2025, 15:24","18 Dec 2025, 15:52","","Seated Dip Machine",,"",2,"normal",60,12,,,
"チョコザップ","18 Dec 2025, 15:24","18 Dec 2025, 15:52","","Chest Press (Machine)",,"",0,"normal",70,15,,,
"チョコザップ","18 Dec 2025, 15:24","18 Dec 2025, 15:52","","Chest Press (Machine)",,"",1,"normal",70,15,,,
"チョコザップ","18 Dec 2025, 15:24","18 Dec 2025, 15:52","","Chest Press (Machine)",,"",2,"normal",70,17,,,
