date,hrv_morning,mind_score,body_score,soreness_score,sleep_score,comment,fitbit_sleep_score,fitbit_energy_score,rise_sleep_dept,muse_paf,sickness_score
2025-12-24,,,,,,,,,,,
2026-01-03,,2.0,2.0,,,起床したら背中がいたい。接心の疲労が継続している,,52.0,,,
2026-01-04,,3.0,3.0,,,喉の痛みがややあるが、風邪は治ったかも,85.0,,,,
2026-01-05,,2.0,3.0,,,喉と鼻水は出る。体温は正常,81.0,51.0,,,
2026-01-06,,,,,,,,15.0,,,
2026-01-07,,3.0,2.0,,,喉と鼻水、倦怠感,83.0,,,,
2026-01-08,,3.0,2.0,,,鼻水と、喉。痰もでた。倦怠感。１週間たっても継続してる,87.0,15.0,,,
2026-01-09,,3.0,3.0,,,体調やや回復,68.0,15.0,,,
2026-01-10,,,,,,,,,,,
2026-01-13,,3.0,3.0,,,風邪は治ってきた,83.0,32.0,,,
2026-01-14,,4.0,3.0,,,とんかつ和幸を食べたら胃もたれ。ほぼ風邪は治ったが、まだかすかに鼻水の炎症は残る,86.0,42.0,,,
2026-01-15,56.0,4.0,4.0,,,,84.0,63.0,,,
2026-01-16,,4.0,4.0,,,,86.0,53.0,,,
2026-01-17,,4.0,3.0,,,やよい軒,77.0,,,,
2026-01-22,60.0,,,,,,,,,,
2026-01-26,,3.0,2.0,,,身体の重みを感じる。肉野菜炒めか、睡眠不足か,75.0,65.0,,,
2026-02-06,,,,,,,,,,,
2026-02-11,,3.0,2.0,,,坐禅疲れか、身体か重い。,83.0,66.0,,,
2026-02-13,,2.0,2.0,,,首と肩,89.0,57.0,,,
2026-02-14,62.0,3.0,2.0,,,首と肩,,66.0,,,
2026-02-16,69.0,3.0,3.0,,,,89.0,52.0,9.2,,
2026-02-17,63.0,2.0,3.0,,,,90.0,62.0,8.6,,
2026-02-19,63.0,3.0,3.0,,,ステーキ食べたらHRVバク上がり,80.0,100.0,9.1,,
2026-02-24,,3.0,2.0,,,"身体がとても重い。寝具だろうか？
6時間寝ても眠い。昨日の睡眠負債か",85.0,59.0,12.8,,
2026-02-25,,3.0,2.0,,,身体がまだ重い。肩と背中、首。昨日は枕を使わない実験をした。,84.0,70.0,11.3,,
2026-02-26,80.0,3.0,2.0,,,身体がまだ重いが、昨日よりはましだ。なんだろうか,88.0,70.0,10.5,,
2026-02-27,,3.0,2.0,,2.0,"4時に目が覚めてそのまま眠れなかった. fitbitでは寝たことになっている。
主観的にはとてもねむい。身体も重い。ただ首や背中の痛みはましになり、全身が重い感じ",83.0,99.0,10.4,,
