logId,timestamp,duration_min,average_hr,calories
7639570602497986064,2025-11-25 07:20:00,5,63.0,4
5147738671046985184,2025-11-28 06:49:24,5,145.0,38
6886420793854478880,2025-12-04 07:30:00,5,76.0,5
1251603949146347456,2025-12-05 07:30:00,5,76.0,6
2502936234560875240,2025-12-07 06:40:00,75,,77
3565849077135873280,2025-12-07 06:40:00,75,,77
4113833091275954688,2025-12-09 07:15:00,5,84.0,5
7973260060118440856,2025-12-13 07:00:00,30,153.0,39
1887137255772221720,2025-12-13 16:00:04,10,106.0,37
6001910151139189248,2025-12-14 07:40:00,20,80.0,37
