dateOfSleep,awakeCount,awakeDuration,awakeningsCount,duration,efficiency,endTime,isMainSleep,logId,minutesAfterWakeup,minutesAsleep,minutesAwake,minutesToFallAsleep,restlessCount,restlessDuration,startTime,timeInBed,totalMinutesAsleep,totalSleepRecords,totalTimeInBed,deepStage,lightStage,remStage,wakeStage
2023-05-07,3,6,13,30780000,96,2023-05-07T07:24:30.000,True,41231650660,0,491,22,0,10,16,2023-05-06T22:51:00.000,513,491,1,513,98,223,153,39
2023-05-08,0,0,7,30240000,44,2023-05-08T07:44:30.000,True,41241721398,0,222,282,0,7,43,2023-05-07T23:20:30.000,504,222,1,504,58,258,123,65
2023-05-09,0,0,11,20760000,36,2023-05-09T05:59:30.000,True,41257353989,0,124,222,0,11,222,2023-05-09T00:13:00.000,346,124,1,346,41,187,86,32
2023-05-10,2,3,21,26640000,49,2023-05-10T06:07:00.000,True,41274949495,34,202,208,0,19,239,2023-05-09T22:42:30.000,444,202,1,444,104,194,97,49
2023-05-11,0,0,9,25140000,50,2023-05-11T07:31:30.000,True,41286394883,22,199,198,0,9,123,2023-05-11T00:32:00.000,419,199,1,419,72,196,95,56
2023-05-12,1,1,5,4980000,23,2023-05-12T20:25:30.000,False,41307786964,6,18,59,0,4,64,2023-05-12T19:02:30.000,83,160,2,432,54,168,75,52
2023-05-13,1,2,15,27540000,39,2023-05-13T06:53:00.000,True,41310566359,19,172,268,0,14,285,2023-05-12T23:14:00.000,459,172,1,459,69,236,91,63
2023-05-14,1,1,12,21480000,53,2023-05-14T06:46:00.000,True,41323447675,0,191,167,0,11,166,2023-05-14T00:48:00.000,358,191,1,358,68,169,94,27
2023-05-15,2,4,22,27840000,35,2023-05-15T06:17:00.000,True,41333437757,22,155,287,0,20,305,2023-05-14T22:33:00.000,464,155,1,464,64,262,92,46
2023-05-16,1,2,18,24660000,42,2023-05-16T06:05:30.000,True,41349868196,50,151,210,0,17,258,2023-05-15T23:14:30.000,411,151,1,411,88,178,104,41
2023-05-17,1,4,19,27240000,41,2023-05-17T06:52:00.000,True,41364670593,48,168,238,0,18,282,2023-05-16T23:17:30.000,454,168,1,454,86,216,104,48
2023-05-18,2,6,18,28200000,50,2023-05-18T06:00:00.000,True,41377232900,33,220,217,0,16,244,2023-05-17T22:10:00.000,470,220,1,470,77,234,113,46
2023-05-19,1,3,21,28560000,54,2023-05-19T07:12:30.000,True,41390446093,8,252,216,0,20,221,2023-05-18T23:16:30.000,476,252,1,476,76,239,107,54
2023-05-20,1,1,18,24120000,44,2023-05-20T06:05:30.000,True,41400688264,0,175,227,0,17,226,2023-05-19T23:23:00.000,402,175,1,402,65,213,85,39
2023-05-21,1,3,11,18780000,44,2023-05-21T06:21:30.000,True,41413857793,37,122,154,0,10,188,2023-05-21T01:08:30.000,313,122,1,313,47,174,47,45
2023-05-22,1,1,10,18780000,50,2023-05-22T07:10:30.000,True,41424896479,13,149,151,0,9,163,2023-05-22T01:57:00.000,313,149,1,313,61,131,85,36
2023-05-23,1,2,12,24120000,57,2023-05-23T06:29:00.000,True,41436605579,50,202,150,0,11,198,2023-05-22T23:46:30.000,402,202,1,402,99,185,61,57
2023-05-24,2,6,14,25740000,53,2023-05-24T06:53:00.000,True,41448072832,0,229,200,0,12,194,2023-05-23T23:43:30.000,429,229,1,429,82,197,78,72
2023-05-25,1,3,17,27840000,54,2023-05-25T07:14:30.000,True,41460437282,37,232,195,0,16,229,2023-05-24T23:30:00.000,464,232,1,464,97,155,179,33
2023-05-26,1,1,15,25380000,57,2023-05-26T06:15:30.000,True,41473750045,10,235,178,0,14,187,2023-05-25T23:12:30.000,423,235,1,423,61,210,109,43
2023-05-27,1,1,10,20760000,62,2023-05-27T04:38:30.000,True,41484316655,32,194,120,0,9,151,2023-05-26T22:52:00.000,346,194,1,346,67,180,66,33
2023-05-28,1,1,15,22440000,61,2023-05-28T05:57:00.000,True,41495799454,46,200,128,0,14,173,2023-05-27T23:42:30.000,374,200,1,374,68,159,89,58
2023-05-29,0,0,9,21840000,49,2023-05-29T07:51:30.000,True,41508253179,11,173,180,0,9,191,2023-05-29T01:47:00.000,364,173,1,364,51,183,76,54
2023-05-30,0,0,21,31260000,49,2023-05-30T08:55:00.000,True,41518716765,24,243,254,0,21,278,2023-05-30T00:13:30.000,521,243,1,521,63,263,130,65
2023-05-31,0,0,16,25080000,50,2023-05-31T06:22:30.000,True,41531014649,14,203,201,0,16,215,2023-05-30T23:24:30.000,418,203,1,418,54,217,91,56
2023-06-01,1,4,18,29640000,57,2023-06-01T07:13:30.000,True,41541850381,0,280,214,0,17,210,2023-05-31T22:59:00.000,494,280,1,494,78,239,109,68
2023-06-02,2,6,13,23580000,32,2023-06-02T07:00:30.000,True,41552671607,0,124,269,0,11,167,2023-06-02T00:27:00.000,393,124,1,393,39,221,70,63
2023-06-03,1,3,13,30060000,52,2023-06-03T07:47:30.000,True,41565797816,82,216,203,0,12,156,2023-06-02T23:26:30.000,501,216,1,501,92,243,84,82
2023-06-04,2,5,19,32460000,57,2023-06-04T08:10:30.000,True,41578790820,0,311,230,0,17,225,2023-06-03T23:09:00.000,541,311,1,541,108,198,174,61
2023-06-05,1,3,12,23100000,39,2023-06-05T06:47:30.000,True,41589219923,0,150,235,0,11,232,2023-06-05T00:22:00.000,385,150,1,385,50,217,66,52
2023-06-06,3,5,13,13200000,37,2023-06-06T11:00:30.000,False,41601045359,37,68,115,0,10,147,2023-06-06T07:20:00.000,220,159,2,500,46,259,99,96
2023-06-07,2,3,20,29880000,56,2023-06-07T07:45:00.000,True,41612541918,19,270,209,0,18,225,2023-06-06T23:26:30.000,498,270,1,498,88,230,112,68
2023-06-08,3,6,14,24360000,52,2023-06-08T06:34:00.000,True,41623270486,13,206,187,0,11,194,2023-06-07T23:47:30.000,406,206,1,406,73,194,73,66
2023-06-09,0,0,15,28800000,54,2023-06-09T08:27:00.000,True,41635777565,0,259,221,0,15,221,2023-06-09T00:27:00.000,480,259,1,480,62,245,110,63
2023-06-10,3,3,32,56160000,30,2023-06-10T16:35:00.000,True,41652766172,40,265,631,0,29,668,2023-06-10T00:58:30.000,936,265,1,936,123,535,143,135
2023-06-11,4,14,30,52020000,37,2023-06-11T09:38:00.000,True,41659604753,0,322,545,0,26,531,2023-06-10T19:11:00.000,867,322,1,867,139,426,185,117
2023-06-12,1,1,13,30900000,39,2023-06-12T09:19:00.000,True,41669070541,11,199,305,0,12,191,2023-06-12T00:44:00.000,515,199,1,515,56,285,66,108
2023-06-13,1,1,7,13200000,21,2023-06-13T03:19:30.000,True,41680106315,0,47,173,0,6,172,2023-06-12T23:39:00.000,220,47,1,220,38,116,15,51
2023-06-14,2,7,14,20340000,72,2023-06-14T04:56:30.000,True,41692883959,48,210,81,0,12,122,2023-06-13T23:17:30.000,339,210,1,339,75,158,72,34
2023-06-15,1,4,11,24540000,45,2023-06-15T06:23:30.000,True,41705352608,7,180,222,0,10,135,2023-06-14T23:34:00.000,409,180,1,409,29,220,100,60
2023-06-16,1,2,12,19200000,55,2023-06-16T05:37:30.000,True,41717927195,34,156,130,0,11,162,2023-06-16T00:17:30.000,320,156,1,320,11,204,65,40
2023-06-17,2,5,16,26940000,63,2023-06-17T06:39:30.000,True,41730333212,43,254,152,0,14,190,2023-06-16T23:10:00.000,449,254,1,449,80,202,104,63
2023-06-18,1,4,18,22560000,42,2023-06-18T05:06:30.000,True,41739677895,0,159,217,0,17,213,2023-06-17T22:50:00.000,376,159,1,376,37,205,80,54
2023-06-19,0,0,13,21960000,66,2023-06-19T05:50:30.000,True,41752187261,0,241,125,0,13,125,2023-06-18T23:44:00.000,366,241,1,366,77,155,90,44
2023-06-20,0,0,13,21060000,47,2023-06-20T06:16:00.000,True,41763278083,11,159,181,0,13,192,2023-06-20T00:25:00.000,351,159,1,351,81,140,92,38
2023-06-21,2,4,14,31440000,48,2023-06-21T08:56:30.000,True,41774934622,0,253,271,0,12,182,2023-06-21T00:12:00.000,524,253,1,524,86,233,100,105
2023-06-22,0,0,9,23820000,70,2023-06-22T06:25:30.000,True,41786581081,19,264,114,0,9,133,2023-06-21T23:48:00.000,397,264,1,397,66,169,100,62
2023-06-23,0,0,15,27720000,52,2023-06-23T07:11:30.000,True,41796403514,0,239,223,0,15,147,2023-06-22T23:29:00.000,462,239,1,462,73,215,109,65
2023-06-24,3,6,18,26220000,46,2023-06-24T06:57:30.000,True,41808892878,109,151,177,0,15,280,2023-06-23T23:40:30.000,437,151,1,437,74,212,75,76
2023-06-25,0,0,8,19380000,51,2023-06-25T07:18:30.000,True,41819873295,13,157,153,0,8,166,2023-06-25T01:55:30.000,323,157,1,323,16,191,57,59
2023-06-26,1,1,6,26400000,57,2023-06-26T07:19:30.000,True,41830495000,0,251,189,0,5,77,2023-06-25T23:59:00.000,440,251,1,440,58,209,87,86
2023-06-27,0,0,11,30480000,46,2023-06-27T08:28:00.000,True,41842942558,30,218,260,0,11,205,2023-06-26T23:59:30.000,508,218,1,508,76,254,89,89
2023-06-28,0,0,10,17940000,60,2023-06-28T06:16:00.000,True,41854239331,20,168,111,0,10,131,2023-06-28T01:16:30.000,299,168,1,299,58,142,51,48
2023-06-29,1,4,18,24840000,35,2023-06-29T06:18:00.000,True,41868886912,19,138,257,0,17,272,2023-06-28T23:24:00.000,414,138,1,414,71,174,113,56
2023-06-30,1,4,11,19140000,66,2023-06-30T04:59:30.000,True,41879651137,0,212,107,0,10,103,2023-06-29T23:40:30.000,319,212,1,319,23,187,71,38
2023-07-01,1,1,16,28080000,43,2023-07-01T06:56:00.000,True,41891861794,0,199,269,0,15,268,2023-06-30T23:07:30.000,468,199,1,468,92,221,83,72
2023-07-02,2,5,18,21360000,57,2023-07-02T06:40:30.000,True,41903254066,13,194,149,0,16,157,2023-07-02T00:44:30.000,356,194,1,356,47,182,85,42
2023-07-03,1,3,15,26280000,41,2023-07-03T06:51:30.000,True,41912486109,9,174,255,0,14,194,2023-07-02T23:33:00.000,438,174,1,438,81,213,97,47
2023-07-04,5,6,23,21540000,37,2023-07-04T05:35:30.000,True,41924918651,11,129,219,0,18,224,2023-07-03T23:36:30.000,359,129,1,359,59,165,78,57
2023-07-05,0,0,9,22200000,49,2023-07-05T06:35:30.000,True,41938517152,0,183,187,0,9,187,2023-07-05T00:25:00.000,370,183,1,370,75,181,86,28
2023-07-06,3,5,17,20280000,34,2023-07-06T05:50:30.000,True,41950954053,13,110,215,0,14,178,2023-07-06T00:12:00.000,338,110,1,338,69,172,33,64
2023-07-07,0,0,17,30540000,52,2023-07-07T07:37:00.000,True,41962308289,17,258,234,0,17,251,2023-07-06T23:07:30.000,509,258,1,509,89,227,117,76
2023-07-08,2,2,18,26220000,50,2023-07-08T06:58:30.000,True,41972356104,35,199,203,0,16,236,2023-07-07T23:41:30.000,437,199,1,437,71,212,91,63
2023-07-09,1,1,14,25320000,61,2023-07-09T06:51:30.000,True,41984651269,37,234,151,0,13,187,2023-07-08T23:49:00.000,422,234,1,422,58,253,57,54
2023-07-10,3,12,11,30360000,39,2023-07-10T07:02:30.000,True,41993618713,0,199,307,0,8,177,2023-07-09T22:36:30.000,506,199,1,506,58,264,99,85
2023-07-11,1,1,13,19560000,47,2023-07-11T06:30:30.000,True,42005765306,0,152,174,0,12,173,2023-07-11T01:04:00.000,326,152,1,326,58,173,55,40
2023-07-12,0,0,7,15240000,60,2023-07-12T05:04:30.000,True,42016380317,44,127,83,0,7,127,2023-07-12T00:50:00.000,254,127,1,254,56,119,34,45
2023-07-13,3,9,18,28140000,52,2023-07-13T06:34:00.000,True,42032704178,35,224,210,0,15,236,2023-07-12T22:44:30.000,469,224,1,469,56,192,105,116
2023-07-14,1,1,13,25560000,63,2023-07-14T06:01:30.000,True,42042895511,18,259,149,0,12,166,2023-07-13T22:55:00.000,426,259,1,426,58,222,90,56
2023-07-15,2,10,21,27360000,57,2023-07-15T07:32:30.000,True,42060307233,77,215,164,0,19,231,2023-07-14T23:56:00.000,456,215,1,456,72,238,92,54
2023-07-16,0,0,10,23040000,71,2023-07-16T07:52:30.000,True,42071218391,31,249,104,0,10,135,2023-07-16T01:28:00.000,384,249,1,384,68,191,86,39
2023-07-17,3,7,22,28800000,46,2023-07-17T06:54:30.000,True,42082100779,9,218,253,0,19,255,2023-07-16T22:54:00.000,480,218,1,480,70,256,109,45
2023-07-18,1,1,19,21060000,45,2023-07-18T08:35:00.000,True,42095533574,22,148,181,0,18,202,2023-07-18T02:44:00.000,351,148,1,351,52,195,72,32
2023-07-19,0,0,13,24360000,62,2023-07-19T07:35:30.000,True,42106233410,19,240,147,0,13,166,2023-07-19T00:49:00.000,406,240,1,406,66,220,67,53
2023-07-20,1,1,17,20460000,45,2023-07-20T07:41:30.000,True,42117463729,48,132,161,0,16,208,2023-07-20T02:00:30.000,341,132,1,341,70,166,58,47
2023-07-21,0,0,8,24300000,67,2023-07-21T06:59:30.000,True,42129153304,7,266,132,0,8,96,2023-07-21T00:14:00.000,405,266,1,405,48,259,68,30
2023-07-22,1,2,15,22620000,62,2023-07-22T06:45:30.000,True,42140392459,23,220,134,0,14,155,2023-07-22T00:28:00.000,377,220,1,377,64,192,80,41
2023-07-23,2,2,18,24840000,43,2023-07-23T06:36:30.000,True,42151804700,21,168,225,0,16,244,2023-07-22T23:42:00.000,414,168,1,414,31,262,73,48
2023-07-24,0,0,16,24540000,59,2023-07-24T06:12:30.000,True,42163217332,10,234,165,0,16,175,2023-07-23T23:23:00.000,409,234,1,409,66,192,119,32
2023-07-25,3,5,17,31140000,32,2023-07-25T09:33:30.000,True,42175724720,38,155,326,0,14,359,2023-07-25T00:54:30.000,519,155,1,519,34,346,70,69
2023-07-26,1,1,13,22560000,71,2023-07-26T07:31:00.000,True,42186244906,11,259,106,0,12,116,2023-07-26T01:14:30.000,376,259,1,376,65,185,92,34
2023-07-28,2,6,16,24540000,50,2023-07-28T07:16:30.000,True,42211283113,25,193,191,0,14,210,2023-07-28T00:27:00.000,409,193,1,409,75,206,69,59
2023-07-29,2,3,17,23040000,58,2023-07-29T06:52:00.000,True,42222468831,15,214,155,0,15,167,2023-07-29T00:28:00.000,384,214,1,384,86,177,80,41
2023-07-30,1,3,15,19200000,49,2023-07-30T05:21:30.000,True,42232788154,0,158,162,0,14,159,2023-07-30T00:01:00.000,320,158,1,320,73,155,47,45
2023-07-31,0,0,6,20100000,80,2023-07-31T07:22:30.000,True,42245003421,0,267,68,0,6,68,2023-07-31T01:47:00.000,335,267,1,335,76,130,101,28
2023-08-01,1,1,15,19140000,61,2023-08-01T06:34:00.000,True,42259435937,9,188,122,0,14,130,2023-08-01T01:15:00.000,319,188,1,319,63,152,76,28
2023-08-02,1,1,13,26280000,52,2023-08-02T06:57:30.000,True,42269913284,21,216,201,0,12,221,2023-08-01T23:39:30.000,438,216,1,438,63,228,100,47
2023-08-03,1,1,13,23100000,60,2023-08-03T06:55:30.000,True,42280836402,29,212,144,0,12,172,2023-08-03T00:30:00.000,385,212,1,385,46,170,111,58
2023-08-04,1,5,16,23460000,62,2023-08-04T07:33:30.000,True,42291246316,41,218,132,0,15,168,2023-08-04T01:02:30.000,391,218,1,391,60,206,87,38
2023-08-05,0,0,5,12420000,41,2023-08-05T04:20:00.000,True,42301471577,54,63,90,0,5,144,2023-08-05T00:53:00.000,207,63,1,207,35,129,0,43
2023-08-06,1,3,14,24300000,59,2023-08-06T07:24:30.000,True,42314422804,0,239,166,0,13,163,2023-08-06T00:39:30.000,405,239,1,405,89,155,108,53
