id,start,stop,duration_sec,description,project_id,project_name,workspace_id,tags
4514382199,2026-08-12 09:07:57,2026-08-12 09:26:51,1134,,175956001,keido,88463,
4514392300,2026-08-12 09:26:00,2026-08-12 12:20:00,10440,,156576848,ruson,88463,
4514490206,2026-08-12 12:52:02,2026-08-12 12:52:05,3,,156576848,ruson,88463,
4517233894,2026-08-14 10:09:32,2026-08-14 19:20:22,33050,,156576848,ruson,88463,
4520633116,2026-08-18 08:15:32,2026-08-18 09:11:31,3359,,201564259,kitakita,88463,
4520676558,2026-08-18 09:27:40,2026-08-18 10:05:17,2257,,175616028,GTD,88463,
4520700456,2026-08-18 10:08:44,2026-08-18 10:16:58,494,,201564259,kitakita,88463,
4520705126,2026-08-18 10:17:03,2026-08-18 10:55:39,2316,,156576848,ruson,88463,
4520733682,2026-08-18 11:08:00,2026-08-18 14:00:00,10320,,156576848,ruson,88463,
4520881010,2026-08-18 15:24:53,2026-08-18 15:25:14,21,,,,88463,
4520881405,2026-08-18 15:25:15,2026-08-18 18:31:27,11172,,156576848,ruson,88463,
