date,temp_mean,temp_max,temp_min,humidity_mean,pressure_mean,pressure_min,precipitation_sum,temp_night_mean,temp_night_max,temp_night_min,humidity_night_mean,pressure_delta
2025-01-05,3.5,8.6,-1.5,62.04,1022.91,1021.4,0.0,1.62,3.9,-0.6,64.75,3.81
2025-01-06,3.66,8.4,0.3,78.25,1014.95,1002.0,26.6,2.51,3.7,0.9,71.88,-7.96
2025-01-07,7.58,11.2,4.3,73.25,1000.82,998.7,0.0,5.29,6.0,4.3,87.88,-14.12
2025-01-08,5.28,9.5,1.7,55.08,1008.3,1004.4,0.0,4.03,6.2,2.8,56.25,7.48
2025-01-09,4.84,10.7,-0.4,55.83,1007.41,1003.2,0.0,2.66,3.7,0.4,57.88,-0.89
2025-01-10,3.06,7.7,-1.7,42.83,1013.72,1008.0,0.0,1.38,4.0,-1.0,41.88,6.31
2025-01-11,3.68,9.4,-0.8,53.79,1020.9,1019.1,0.0,0.6,1.5,-0.4,57.12,7.17
2025-01-12,3.09,6.0,-0.1,78.33,1019.24,1015.0,0.0,1.08,2.1,0.1,77.75,-1.66
2025-01-13,5.47,11.1,1.0,61.71,1016.42,1013.1,0.0,3.6,5.1,1.9,82.88,-2.82
2025-01-14,4.64,10.6,-1.2,72.96,1018.57,1015.8,0.0,1.78,3.9,-0.3,73.38,2.15
2025-01-15,5.21,12.1,-0.3,65.92,1012.16,1007.1,0.1,2.02,4.4,0.4,86.5,-6.41
2025-01-16,3.46,6.3,1.0,55.25,1017.38,1015.1,0.0,2.89,4.9,1.4,52.0,5.22
2025-01-17,3.22,6.7,0.4,53.08,1017.45,1013.4,0.0,1.06,1.8,0.4,72.5,0.07
2025-01-18,4.05,8.0,1.0,51.92,1023.74,1022.1,0.0,1.6,2.4,1.1,52.88,6.29
2025-01-19,3.89,8.1,-0.1,64.38,1020.81,1016.3,0.4,2.06,4.2,-0.1,66.5,-2.93
2025-01-20,8.34,13.2,4.6,71.75,1012.41,1009.9,0.2,5.89,6.7,5.1,66.5,-8.4
2025-01-21,8.65,11.9,5.6,75.54,1015.2,1012.7,0.2,7.51,8.0,7.1,91.5,2.8
2025-01-22,6.99,12.3,2.5,58.04,1020.03,1017.9,0.0,4.45,6.2,3.0,79.5,4.82
2025-01-23,6.54,12.0,1.5,70.08,1021.75,1019.5,0.0,3.76,6.4,2.1,74.88,1.72
2025-01-24,7.93,13.2,3.8,65.54,1021.44,1019.7,2.7,5.55,7.0,4.3,73.5,-0.31
2025-01-25,5.63,6.4,4.5,72.38,1020.85,1019.6,1.2,6.35,7.6,5.5,80.0,-0.59
2025-01-26,5.95,10.6,2.4,48.33,1017.8,1015.4,0.0,3.55,5.0,2.6,59.25,-3.04
