date,sleep_need_hours,avg_sleep_hours,sleep_debt_hours,category,recovery_days
2025-12-03,6.0,5.82,0.16,Low,1
2025-12-04,6.0,5.96,0.0,None,0
2025-12-05,6.07,6.03,0.0,None,0
2025-12-06,6.0,6.01,0.0,None,0
2025-12-07,6.07,6.03,0.0,None,0
2025-12-08,6.2,6.04,0.11,Low,1
2025-12-09,6.11,6.14,0.0,None,0
2025-12-10,6.11,6.22,0.0,None,0
2025-12-11,6.15,6.13,0.0,None,0
2025-12-12,6.2,6.1,0.05,Low,1
2025-12-13,6.07,6.02,0.03,Low,1
2025-12-14,6.11,6.12,0.02,Low,1
2025-12-15,6.07,6.28,0.0,None,0
2025-12-16,6.17,6.3,0.0,None,0
2025-12-17,6.18,6.29,0.0,None,0
2025-12-18,6.21,6.22,0.0,None,0
2025-12-19,6.18,6.22,0.0,None,0
2025-12-20,6.24,6.27,0.0,None,0
2025-12-21,6.23,6.31,0.0,None,0
2025-12-22,6.24,6.32,0.0,None,0
2025-12-23,6.25,6.41,0.0,None,0
2025-12-24,6.27,6.37,0.0,None,0
2025-12-25,6.28,6.39,0.0,None,0
2025-12-26,6.27,6.34,0.0,None,0
2025-12-27,6.25,6.37,0.0,None,0
2025-12-28,6.24,6.37,0.0,None,0
2025-12-29,6.25,6.43,0.0,None,0
2025-12-30,6.27,6.45,0.0,None,0
2025-12-31,6.28,6.51,0.0,None,0
2026-01-01,6.27,6.49,0.0,None,0
