datetime,rmssd,coverage,hf,lf,lf_hf_ratio,timestamp,glucose,heart_rate
2026-02-15 22:20:00,32.343,0.989,152.653,702.162,,2026-02-15 22:19:17,122.0,56
2026-02-15 22:25:00,37.957,0.916,217.69,170.046,,2026-02-15 22:24:17,131.0,53
2026-02-15 22:30:00,40.744,0.988,307.768,289.815,,2026-02-15 22:29:17,135.0,50
2026-02-15 22:35:00,36.985,1.006,258.757,321.313,,2026-02-15 22:34:17,135.0,50
2026-02-15 22:40:00,39.018,1.005,272.45,165.848,,2026-02-15 22:39:17,141.0,50
2026-02-15 22:45:00,37.061,1.003,223.725,147.899,,2026-02-15 22:44:17,145.0,51
2026-02-15 22:50:00,36.185,0.991,267.23,179.454,,2026-02-15 22:49:17,149.0,51
2026-02-15 22:55:00,29.194,1.002,167.626,108.171,,2026-02-15 22:54:17,151.0,50
2026-02-15 23:00:00,31.167,1.005,134.558,436.491,,2026-02-15 22:59:17,151.0,52
2026-02-15 23:05:00,30.222,1.005,154.409,231.894,,2026-02-15 23:04:17,154.0,53
2026-02-15 23:10:00,28.685,1.001,156.026,182.091,,2026-02-15 23:09:17,157.0,53
2026-02-15 23:15:00,28.773,0.951,120.702,536.797,,2026-02-15 23:14:18,160.0,54
2026-02-15 23:20:00,26.689,0.992,93.911,490.001,,2026-02-15 23:19:17,157.0,53
2026-02-15 23:25:00,26.787,0.96,127.43,289.949,,2026-02-15 23:24:17,141.0,51
2026-02-15 23:30:00,31.765,1.004,164.12,498.602,,2026-02-15 23:29:17,144.0,57
2026-02-15 23:35:00,28.242,1.004,118.946,425.076,,2026-02-15 23:34:18,148.0,55
2026-02-15 23:40:00,27.813,0.981,122.14,490.117,,2026-02-15 23:39:17,155.0,53
2026-02-15 23:45:00,24.444,0.989,114.996,432.124,,2026-02-15 23:44:17,154.0,57
2026-02-15 23:50:00,26.03,0.979,100.37,200.235,,2026-02-15 23:49:17,150.0,54
2026-02-15 23:55:00,30.793,0.986,130.655,1011.396,,2026-02-15 23:54:17,149.0,52
2026-02-16 00:00:00,32.667,0.965,173.059,448.047,,2026-02-15 23:59:17,146.0,53
2026-02-16 00:05:00,33.652,0.978,189.629,190.903,,2026-02-16 00:04:17,143.0,49
2026-02-16 00:10:00,40.176,1.006,256.848,253.155,,2026-02-16 00:09:18,142.0,50
2026-02-16 00:15:00,29.484,1.005,158.272,1615.403,,2026-02-16 00:14:17,139.0,48
2026-02-16 00:20:00,33.249,1.003,170.951,215.725,,2026-02-16 00:19:17,138.0,49
2026-02-16 00:25:00,30.325,0.999,170.214,179.549,,2026-02-16 00:24:17,142.0,49
2026-02-16 00:30:00,30.449,1.005,158.287,324.248,,2026-02-16 00:29:18,141.0,51
2026-02-16 00:35:00,36.411,0.895,200.462,463.173,,2026-02-16 00:34:18,142.0,64
2026-02-16 00:40:00,31.405,0.991,151.383,684.207,,2026-02-16 00:39:18,134.0,50
2026-02-16 00:45:00,32.356,1.0,170.972,246.808,,2026-02-16 00:44:18,132.0,49
2026-02-16 00:50:00,31.833,0.959,172.008,855.304,,2026-02-16 00:49:17,126.0,50
2026-02-16 00:55:00,33.631,1.0,140.405,227.943,,2026-02-16 00:54:18,126.0,50
2026-02-16 01:00:00,31.436,0.988,144.319,1068.299,,2026-02-16 00:59:17,127.0,50
2026-02-16 01:05:00,31.873,0.987,166.886,488.463,,2026-02-16 01:04:17,124.0,50
2026-02-16 01:10:00,34.47,0.999,180.144,1206.229,,2026-02-16 01:09:18,126.0,50
2026-02-16 01:15:00,38.095,0.826,163.81,1136.477,,2026-02-16 01:14:17,123.0,52
2026-02-16 01:20:00,32.058,0.981,152.683,698.39,,2026-02-16 01:19:17,123.0,57
2026-02-16 01:25:00,25.169,1.0,59.541,749.18,,2026-02-16 01:24:18,126.0,51
2026-02-16 01:30:00,35.055,0.964,116.049,1275.813,,2026-02-16 01:29:17,136.0,57
2026-02-16 01:35:00,34.285,0.966,103.102,1294.906,,2026-02-16 01:34:17,131.0,49
2026-02-16 01:40:00,26.773,1.002,85.037,1502.049,,2026-02-16 01:39:18,135.0,49
2026-02-16 01:45:00,25.665,1.002,59.22,193.256,,2026-02-16 01:44:17,132.0,60
2026-02-16 01:50:00,37.318,0.979,156.607,2633.496,,2026-02-16 01:49:18,132.0,55
2026-02-16 01:55:00,33.881,0.852,203.929,637.836,,2026-02-16 01:54:17,130.0,48
2026-02-16 02:00:00,54.035,1.003,378.685,499.188,,2026-02-16 01:59:18,118.0,52
2026-02-16 02:05:00,58.06,0.987,426.989,578.929,,2026-02-16 02:04:18,128.0,53
2026-02-16 02:10:00,60.359,0.995,520.937,109.204,,2026-02-16 02:09:18,133.0,52
2026-02-16 02:15:00,50.892,1.004,339.253,210.907,,2026-02-16 02:14:18,130.0,53
2026-02-16 02:20:00,21.321,1.001,89.905,163.323,,2026-02-16 02:19:17,130.0,54
2026-02-16 02:25:00,24.1,0.989,94.209,153.781,,2026-02-16 02:24:17,128.0,54
2026-02-16 02:30:00,23.963,0.981,70.468,454.586,,2026-02-16 02:29:17,126.0,52
2026-02-16 02:35:00,32.521,1.002,227.014,269.934,,2026-02-16 02:34:18,135.0,52
2026-02-16 02:40:00,24.092,1.003,102.535,194.857,,2026-02-16 02:39:17,131.0,52
2026-02-16 02:45:00,21.936,1.003,63.535,225.928,,2026-02-16 02:44:18,130.0,52
2026-02-16 02:50:00,23.45,0.981,62.585,681.925,,2026-02-16 02:49:17,130.0,52
2026-02-16 02:55:00,54.289,0.959,419.262,409.823,,2026-02-16 02:54:17,120.0,53
2026-02-16 03:00:00,57.293,0.972,535.945,209.476,,2026-02-16 02:59:18,120.0,53
2026-02-16 03:05:00,30.485,0.926,127.052,595.86,,2026-02-16 03:04:17,126.0,54
2026-02-16 03:10:00,28.436,0.975,102.303,1285.742,,2026-02-16 03:09:18,113.0,50
2026-02-16 03:15:00,34.856,0.967,207.905,1054.926,,2026-02-16 03:14:18,111.0,49
2026-02-16 03:20:00,33.591,0.955,139.536,1636.357,,2026-02-16 03:19:17,118.0,51
2026-02-16 03:25:00,30.719,0.96,142.378,571.905,,2026-02-16 03:24:18,119.0,51
2026-02-16 03:30:00,28.835,1.0,152.31,665.176,,2026-02-16 03:29:18,125.0,52
2026-02-16 03:35:00,21.841,1.001,44.718,350.298,,2026-02-16 03:34:18,111.0,56
2026-02-16 03:40:00,28.973,1.003,944.737,2027.582,,2026-02-16 03:39:18,110.0,55
2026-02-16 03:45:00,31.008,0.957,179.578,936.275,,2026-02-16 03:44:17,114.0,55
2026-02-16 03:50:00,24.516,1.006,51.668,312.568,,2026-02-16 03:49:17,113.0,56
2026-02-16 03:55:00,27.876,0.906,95.722,453.081,,2026-02-16 03:54:18,106.0,66
2026-02-16 04:00:00,18.122,1.001,30.988,274.038,,2026-02-16 03:59:18,118.0,54
2026-02-16 04:05:00,19.557,1.004,38.347,549.525,,2026-02-16 04:04:17,120.0,54
2026-02-16 04:10:00,23.406,0.968,79.201,1247.937,,2026-02-16 04:09:19,121.0,55
2026-02-16 04:15:00,53.824,0.98,357.164,346.55,,2026-02-16 04:14:18,123.0,56
2026-02-16 04:20:00,29.49,0.96,96.55,822.803,,2026-02-16 04:19:18,130.0,56
2026-02-16 04:25:00,23.001,0.997,110.346,229.036,,2026-02-16 04:24:18,138.0,54
2026-02-16 04:30:00,24.19,1.004,102.976,149.03,,2026-02-16 04:29:18,137.0,54
2026-02-16 04:35:00,24.717,0.996,101.705,204.098,,2026-02-16 04:34:18,134.0,55
2026-02-16 04:40:00,32.501,0.981,187.681,344.701,,2026-02-16 04:39:18,134.0,55
2026-02-16 04:45:00,31.326,0.96,221.286,1374.61,,2026-02-16 04:44:18,134.0,54
2026-02-16 04:50:00,24.536,0.976,88.625,238.755,,2026-02-16 04:49:18,134.0,52
2026-02-16 04:55:00,22.426,1.003,74.117,422.826,,2026-02-16 04:54:18,137.0,54
2026-02-16 05:00:00,27.199,1.003,123.061,374.984,,2026-02-16 04:59:18,138.0,54
2026-02-16 05:05:00,29.869,1.006,157.262,237.458,,2026-02-16 05:04:17,139.0,54
2026-02-16 05:10:00,31.932,0.887,129.845,931.252,,2026-02-16 05:09:18,139.0,60
2026-02-16 05:15:00,32.489,0.961,199.301,1592.052,,2026-02-16 05:14:18,124.0,52
2026-02-16 05:20:00,27.716,0.981,115.77,777.069,,2026-02-16 05:19:18,130.0,55
2026-02-16 05:25:00,31.887,0.975,178.416,915.158,,2026-02-16 05:24:18,140.0,58
2026-02-16 05:30:00,27.411,0.945,106.825,288.15,,2026-02-16 05:29:17,128.0,57
2026-02-16 05:35:00,39.717,0.943,166.984,1573.032,,2026-02-16 05:34:17,119.0,54
