dateOfSleep,awakeCount,awakeDuration,awakeningsCount,duration,efficiency,endTime,isMainSleep,logId,minutesAfterWakeup,minutesAsleep,minutesAwake,minutesToFallAsleep,restlessCount,restlessDuration,startTime,timeInBed,totalMinutesAsleep,totalSleepRecords,totalTimeInBed,deepStage,lightStage,remStage,wakeStage
2023-07-28,2,6,16,24540000,50,2023-07-28T07:16:30.000,True,42211283113,25,193,191,0,14,210,2023-07-28T00:27:00.000,409,193,1,409,75,206,69,59
2023-07-29,2,3,17,23040000,58,2023-07-29T06:52:00.000,True,42222468831,15,214,155,0,15,167,2023-07-29T00:28:00.000,384,214,1,384,86,177,80,41
2023-07-30,1,3,15,19200000,49,2023-07-30T05:21:30.000,True,42232788154,0,158,162,0,14,159,2023-07-30T00:01:00.000,320,158,1,320,73,155,47,45
2023-07-31,0,0,6,20100000,80,2023-07-31T07:22:30.000,True,42245003421,0,267,68,0,6,68,2023-07-31T01:47:00.000,335,267,1,335,76,130,101,28
2023-08-01,1,1,15,19140000,61,2023-08-01T06:34:00.000,True,42259435937,9,188,122,0,14,130,2023-08-01T01:15:00.000,319,188,1,319,63,152,76,28
2023-08-02,1,1,13,26280000,52,2023-08-02T06:57:30.000,True,42269913284,21,216,201,0,12,221,2023-08-01T23:39:30.000,438,216,1,438,63,228,100,47
2023-08-03,1,1,13,23100000,60,2023-08-03T06:55:30.000,True,42280836402,29,212,144,0,12,172,2023-08-03T00:30:00.000,385,212,1,385,46,170,111,58
2023-08-04,1,5,16,23460000,62,2023-08-04T07:33:30.000,True,42291246316,41,218,132,0,15,168,2023-08-04T01:02:30.000,391,218,1,391,60,206,87,38
2023-08-05,0,0,5,12420000,41,2023-08-05T04:20:00.000,True,42301471577,54,63,90,0,5,144,2023-08-05T00:53:00.000,207,63,1,207,35,129,0,43
2023-08-06,1,3,14,24300000,59,2023-08-06T07:24:30.000,True,42314422804,0,239,166,0,13,163,2023-08-06T00:39:30.000,405,239,1,405,89,155,108,53
2023-08-07,2,3,23,31260000,53,2023-08-07T07:11:00.000,True,42324161483,0,276,245,0,21,242,2023-08-06T22:29:30.000,521,276,1,521,90,273,112,46
2023-08-08,1,3,5,6720000,53,2023-08-08T23:37:00.000,False,42345502040,54,31,27,0,4,78,2023-08-08T21:44:30.000,112,258,2,490,84,170,68,56
2023-08-09,1,3,13,20340000,69,2023-08-09T06:53:00.000,True,42346529857,29,215,95,0,12,121,2023-08-09T01:13:30.000,339,215,1,339,61,152,84,42
2023-08-10,0,0,2,27000000,48,2023-08-10T06:22:00.000,True,42359471438,0,218,232,0,2,91,2023-08-09T22:51:30.000,450,218,1,450,76,213,91,70
2023-08-11,1,2,17,20820000,52,2023-08-11T06:21:30.000,True,42373950653,23,169,155,0,16,176,2023-08-11T00:34:00.000,347,169,1,347,43,181,89,34
2023-08-12,0,0,13,23040000,66,2023-08-12T06:48:00.000,True,42384432263,8,247,129,0,13,137,2023-08-12T00:24:00.000,384,247,1,384,62,223,64,35
2023-08-13,2,7,18,27840000,63,2023-08-13T07:18:30.000,True,42395978563,62,254,148,0,16,203,2023-08-12T23:34:30.000,464,254,1,464,57,251,82,74
2023-08-14,4,5,24,27960000,54,2023-08-14T06:54:00.000,True,42407840131,0,250,216,0,20,211,2023-08-13T23:08:00.000,466,250,1,466,62,242,113,49
2023-08-15,0,0,6,29220000,37,2023-08-15T07:03:30.000,True,42417563285,14,175,298,0,6,126,2023-08-14T22:56:00.000,487,175,1,487,95,243,73,76
2023-08-16,1,2,14,25560000,57,2023-08-16T06:41:30.000,True,42430759670,18,234,174,0,13,129,2023-08-15T23:35:00.000,426,234,1,426,80,240,60,46
2023-08-17,2,4,19,22980000,35,2023-08-17T07:21:30.000,True,42446035633,10,131,242,0,17,248,2023-08-17T00:58:30.000,383,131,1,383,75,194,75,39
2023-08-18,1,2,17,28860000,55,2023-08-18T06:52:30.000,True,42456775567,74,223,184,0,16,256,2023-08-17T22:51:30.000,481,223,1,481,66,285,58,72
2023-08-19,2,7,19,27360000,49,2023-08-19T07:13:30.000,True,42471752713,29,211,216,0,17,238,2023-08-18T23:37:30.000,456,211,1,456,72,256,59,69
2023-08-20,3,5,24,26880000,46,2023-08-20T06:40:30.000,True,42481129953,22,197,229,0,21,246,2023-08-19T23:12:00.000,448,197,1,448,63,234,106,45
